GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
CM_01,Number of under-five deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-under-five-deaths,1976,1976,1976,AFR,Africa,GHA,Ghana,SEX,SEX_MLE,Male,43970.0,43 970 [42 145-45 914],42145.0,45914.0
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2017,2017,2017,AFR,Africa,GHA,Ghana,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.17348,0.2,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2013,2013,2013,AFR,Africa,GHA,Ghana,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.0,0,,
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-adolescents-10-19-years-of-age,2010,2010,2010,AFR,Africa,GHA,Ghana,SEX,SEX_BTSX,Both sexes,7902.0,7902 [6249-9899],6249.0,9899.0
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,2014,2014,2014,AFR,Africa,GHA,Ghana,SEX,SEX_MLE,Male,60.25491362,60.3 [55.5-65.2],55.481199307,65.242151281
CM_04,Number of deaths among children ages 5 to 9 years,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-children-ages-5-to-9-years,2013,2013,2013,AFR,Africa,GHA,Ghana,SEX,SEX_MLE,Male,2805.0,2805 [2401-3264],2401.0,3264.0
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,1938,1938,1938,AFR,Africa,GHA,Ghana,SEX,SEX_BTSX,Both sexes,326.872104768,326.9 [285.7-373.7],285.686548069,373.654634279
WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/life-expectancy-at-birth-%28years%29,2005,2005,2005,AFR,Africa,GHA,Ghana,SEX,SEX_MLE,Male,58.2958344,58.3 [57.7-59.0],57.73964597,59.00903347
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,2005,2005,2005,AFR,Africa,GHA,Ghana,SEX,SEX_FMLE,Female,13.741874934,13.7 [10.9-17.1],10.881419039,17.133401494
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,2004,2004,2004,AFR,Africa,GHA,Ghana,SEX,SEX_BTSX,Both sexes,64.478439456,64.5 [56.6-72.8],56.630966047,72.781919356
WHOSIS_000016,Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mortality-rate-among-children-ages-5-to-9-years-%28per-1000-children-aged-5%29,1994,1994,1994,AFR,Africa,GHA,Ghana,SEX,SEX_MLE,Male,14.891308372,14.9 [13.0-16.9],13.044847718,16.93920969
NCD_UNDER70,Premature deaths due to noncommunicable diseases (NCD) as a proportion of all NCD deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ncd-deaths-under-age-70-%28percent-of-all-ncd-deaths%29,2012,2012,2012,AFR,Africa,GHA,Ghana,SEX,SEX_FMLE,Female,58.167003632,58,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2015,2015,2015,AFR,Africa,GHA,Ghana,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.05194,0.1,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2016,2016,2016,AFR,Africa,GHA,Ghana,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.14938,0.1,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2015,2015,2015,AFR,Africa,GHA,Ghana,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.27805,0.3,,
