GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
HEPATITIS_HBV_PREVALENCE_PER100,Prevalence of chronic hepatitis B (HBV) in the general population (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hepatitis---prevalence-of-chronic-hepatitis-among-the-general-population,2022,2022,2022,AFR,Africa,GHA,Ghana,,,,9.0,9,,
HEPATITIS_HBV_TREATMENT_NUM,Persons on chronic hepatitis B (HBV) treatment (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hepatitis---number-of-chronic-hepatitis-b-infected-persons-treated,2022,2022,2022,AFR,Africa,GHA,Ghana,,,,800.0,800,,
HEPATITIS_HCV_LIVINGWITH_CRD_NUM,People living with chronic hepatitis C (HCV) including cured (all ages) (adjusted number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hepatitis---number-of-persons-living-with-chronic-hepatitis,2022,2022,2022,AFR,Africa,GHA,Ghana,,,,444445.0,444 445,,
HEPATITIS_HCV_TREATMENT_PERDIAGNOSED_PER100,Chronic hepatitis C (HCV) treatment rate as percentage of diagnosed (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hepatitis---chronic-hepatitis-treatment-rate-as-percentage-of-diagnosed,2022,2015,2022,AFR,Africa,GHA,Ghana,,,,8.0,8,,
HEPATITIS_HBV_INFECTIONS_NEW_NUM,New chronic hepatitis B (HBV) infections (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hepatitis---new-infections,2022,2022,2022,AFR,Africa,GHA,Ghana,,,,10325.0,10 325,,
HEPATITIS_HCV_TREATMENT_CUM_NUM,"Persons on chronic hepatitis C (HCV) treatment, cumulative (number)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hepatitis---number-of-persons-initiated-hepatitis-c-treatment--latest-year-and-cumulative-over-a-period-of-years,2022,2015,2022,AFR,Africa,GHA,Ghana,,,,1735.0,1735,,
HEPATITIS_HCV_DIAGNOSED_NUM,Chronic hepatitis C (HCV) infected persons diagnosed (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hepatitis---number-of-chronic-hepatitis-infected-persons-diagnosed,2022,2022,2022,AFR,Africa,GHA,Ghana,,,,19200.0,19 200,,
HEPATITIS_HBV_TREATMENT_PERDIAGNOSED_PER100,Chronic hepatitis B (HBV) treatment rate as percentage of diagnosed (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hepatitis---chronic-hepatitis-treatment-rate-as-percentage-of-diagnosed,2022,2022,2022,AFR,Africa,GHA,Ghana,,,,4.0,4,,
HEPATITIS_HCV_DIAGNOSED_CRD_NUM,"Chronic hepatitis C (HCV) infected persons diagnosed, including cured (number)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hepatitis---number-of-chronic-hepatitis-infected-persons-diagnosed,2022,2022,2022,AFR,Africa,GHA,Ghana,,,,20848.0,20 848,,
HEPATITIS_HCV_DIAGNOSIS_PERINFECTED_CRD_PER100,"Chronic hepatitis C (HCV) diagnosis coverage as percentage of total HCV infected, including cured (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hepatitis--diagnosis-coverage-of-chronic-hepatitis-%28hbv-and-hcv%29-as-a-percentage-of-infected,2022,2022,2022,AFR,Africa,GHA,Ghana,,,,5.0,5,,
HEPATITIS_HBV_DIAGNOSED_NUM,Chronic hepatitis B (HBV) infected persons diagnosed (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hepatitis---number-of-chronic-hepatitis-infected-persons-diagnosed,2022,2022,2022,AFR,Africa,GHA,Ghana,,,,20007.0,20 007,,
HEPATITIS_HCV_INFECTIONS_NEW_NUM,New chronic hepatitis C (HCV) infections (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hepatitis---new-infections,2022,2022,2022,AFR,Africa,GHA,Ghana,,,,10714.0,10 714,,
HEPATITIS_HCV_TREATMENT_INITIATED_NUM,Persons initiated chronic hepatitis C(HCV) treatment (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hepatitis---number-of-persons-initiated-hepatitis-c-treatment--latest-year-and-cumulative-over-a-period-of-years,2022,2022,2022,AFR,Africa,GHA,Ghana,,,,1066.0,1066,,
HEPATITIS_HBV_DEATHS_NUM,Deaths caused by chronic hepatitis B (HBV) infection (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hepatitis---number-of-deaths-caused-by-chronic-hepatitis,2022,2022,2022,AFR,Africa,GHA,Ghana,,,,13910.0,13 910,,
HEPATITIS_HBV_DIAGNOSIS_PERINFECTED_PER100,Chronic hepatitis B (HBV) diagnosis coverage as a percentage of infected (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hepatitis--diagnosis-coverage-of-chronic-hepatitis-%28hbv-and-hcv%29-as-a-percentage-of-infected,2022,2022,2022,AFR,Africa,GHA,Ghana,,,,1.0,1,,
HEPATITIS_HBV_LIVINGWITH_NUM,People living with chronic hepatitis B (HBV) (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hepatitis---number-of-persons-living-with-chronic-hepatitis,2022,2022,2022,AFR,Africa,GHA,Ghana,,,,2865177.0,2 865 177,,
HEPATITIS_HCV_DEATHS_NUM,Deaths caused by chronic hepatitis C (HCV) infection (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hepatitis---number-of-deaths-caused-by-chronic-hepatitis,2022,2022,2022,AFR,Africa,GHA,Ghana,,,,1659.0,1659,,
HEPATITIS_HCV_LIVINGWITH_NUM,People living with chronic hepatitis C (HCV) (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hepatitis---number-of-persons-living-with-chronic-hepatitis,2022,2022,2022,AFR,Africa,GHA,Ghana,,,,442797.0,442 797,,
HEPATITIS_HCV_PREVALENCE_PER100,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hepatitis---prevalence-of-chronic-hepatitis-among-the-general-population,2022,2022,2022,AFR,Africa,GHA,Ghana,,,,1.3,1.3,,
