master_sheet_region,master_sheet_district,geojson_district,geojson_region,match_method,note
Ahafo,Asunafo North Municipal,ASUNAFO NORTH MUNICIPAL,AHAFO,exact_normalized,
Ahafo,Asunafo South,ASUNAFO SOUTH,AHAFO,exact_normalized,
Ahafo,Asutifi North,ASUTIFI NORTH,AHAFO,exact_normalized,
Ahafo,Asutifi South,ASUTIFI SOUTH,AHAFO,exact_normalized,
Ahafo,Tano North Municipal,TANO NORTH MUNICIPAL,AHAFO,exact_normalized,
Ahafo,Tano South Municipal,TANO SOUTH MUNICIPAL,AHAFO,exact_normalized,
Ashanti,Adansi Asokwa,ADANSI ASOKWA,ASHANTI,exact_normalized,
Ashanti,Adansi North,ADANSI NORTH,ASHANTI,exact_normalized,
Ashanti,Adansi South,ADANSI SOUTH,ASHANTI,exact_normalized,
Ashanti,Afigya Kwabre North,AFIGYA KWABRE NORTH,ASHANTI,exact_normalized,
Ashanti,Afigya Kwabre South,AFIGYA KWABRE SOUTH,ASHANTI,exact_normalized,
Ashanti,Ahafo Ano North Municipal,AHAFO ANO NORTH,ASHANTI,exact_normalized,
Ashanti,Ahafo Ano South East,AHAFO ANO SOUTH EAST,ASHANTI,exact_normalized,
Ashanti,Ahafo Ano South West,AHAFO ANO SOUTH WEST,ASHANTI,exact_normalized,
Ashanti,Akrofuom,ADANSI AKROFUOM,ASHANTI,manual_resolved,Spelling variant
Ashanti,Amansie Central,AMANSIE CENTRAL,ASHANTI,exact_normalized,
Ashanti,Amansie South,AMANSIE SOUTH,ASHANTI,exact_normalized,
Ashanti,Amansie West,AMANSIE WEST,ASHANTI,exact_normalized,
Ashanti,Asante Akim Central Municipal,ASANTE AKIM CENTRAL MUNICIPAL,ASHANTI,exact_normalized,
Ashanti,Asante Akim North Municipal,ASANTE AKIM NORTH,ASHANTI,exact_normalized,
Ashanti,Asante Akim South Municipal,ASANTE AKIM SOUTH,ASHANTI,exact_normalized,
Ashanti,Asokore Mampong Municipal,ASOKORE MAMPONG MUNICIPAL,ASHANTI,exact_normalized,
Ashanti,Asokwa Municipal,ASOKWA  MUNICIPAL,ASHANTI,exact_normalized,
Ashanti,Atwima Kwanwoma,ATWIMA KWANWOMA,ASHANTI,exact_normalized,
Ashanti,Atwima Mponua,ATWIMA MPONUA,ASHANTI,exact_normalized,
Ashanti,Atwima Nwabiagya North,ATWIMA NWABIAGYA NORTH,ASHANTI,exact_normalized,
Ashanti,Atwima Nwabiagya South Municipal,ATWIMA NWABIAGYA SOUTH,ASHANTI,exact_normalized,
Ashanti,Bekwai Municipal,BEKWAI MUNICIPAL,ASHANTI,exact_normalized,
Ashanti,Bosome Freho,BOSOME FREHO,ASHANTI,exact_normalized,
Ashanti,Bosomtwi,BOSOMTWE,ASHANTI,manual_resolved,Spelling variant
Ashanti,Ejisu Municipal,EJISU MUNICIPAL,ASHANTI,exact_normalized,
Ashanti,Ejura Sekyedumase Municipal,EJURA-SEKYEDUMASE,ASHANTI,exact_normalized,
Ashanti,Juaben Municipal,JUABEN MUNICIPAL,ASHANTI,exact_normalized,
Ashanti,"Kumasi Metropolitan Area (KMA)-Bantama, Manhyia North, Manhyia South, Nhyiaeso, & Subin",KUMASI METROPOLITAN,ASHANTI,manual_resolved,Composite metro row -> single legacy polygon
