DISTRICT,REGION,tvi_pca,tvi_equal,tvi_pca_lisa_label,tvi_pca_gi_star,tvi_pca_gi_p,tvi_equal_lisa_label,tvi_equal_gi_star,tvi_equal_gi_p
ADENTA MUNICIPAL,GREATER ACCRA,-2.9096484971054384,-0.9957355788374022,Low-Low,1.3646985369583522,0.001,Low-Low,1.1689188864550475,0.001
LEDZOKUKU MUNICIPAL,GREATER ACCRA,-2.2711483499697214,-0.7328395993792499,Low-Low,1.446919422282979,0.001,Low-Low,1.2424972499294402,0.001
CHEREPONI,NORTHERN EAST,3.620157086508303,1.3793590564859486,High-High,-1.6860656703034753,0.028,High-High,-1.6249639700294094,0.031
WA EAST,UPPER WEST,2.8462409061213165,1.0360775801640785,High-High,-1.433828622997295,0.002,High-High,-1.4409475423405145,0.002
WA MUNICIPAL,UPPER WEST,-0.4563371184874608,-0.3524358046409266,Low-High,-1.3331993859657936,0.003,Low-High,-1.1797056095332392,0.004
SABOBA,NORTHERN,2.520149987351668,0.8211851799439677,High-High,-1.3972212193033366,0.039,High-High,-1.3209658558741573,0.037
JIRAPA,UPPER WEST,3.6362044979252777,1.209694952510377,High-High,-1.481614436727335,0.005,High-High,-1.2069666043209257,0.013
GUSHEGU,NORTHERN,3.6156383954728977,1.4779981179908628,High-High,-2.040793664062143,0.001,High-High,-1.991766125469864,0.001
SISSALA WEST,UPPER WEST,2.3631446630299493,0.7014499882303952,High-High,-1.3277115275845146,0.011,High-High,-1.074294792019854,0.022
NANUMBA NORTH,NORTHERN,1.5898698889813807,0.6448749540330785,High-High,-1.5040647451760798,0.003,High-High,-1.5510847662954446,0.001
LAMBUSSIE-KARNI,UPPER WEST,3.003912137400092,0.9245511786475674,High-High,-1.4054914631190565,0.011,High-High,-1.077351356203847,0.031
BOLGATANGA MUNICIPAL,UPPER EAST,-0.0215766862578591,-0.2087086133417439,Low-High,-1.0989442573293522,0.011,Low-High,-0.871305660361898,0.018
NANUMBA SOUTH,NORTHERN,2.284861622619089,0.8934592346428558,High-High,-1.2912727352618152,0.008,High-High,-1.4627219376473042,0.001
WENCHI MUNICIPAL,BONO,-0.2179581188366112,-0.2139327542204808,Not significant,0.2824571745354847,0.244,Not significant,0.49502085625653197,0.09
BONGO,UPPER EAST,4.148711347283545,1.47317524454648,High-High,-1.3541032668501947,0.051,Not significant,-1.1344670082794677,0.086
TANO SOUTH MUNICIPAL,AHAFO,-0.5403235672668537,-0.331478595547964,Not significant,0.22997356685229955,0.328,Not significant,0.3186681450851277,0.281
WA WEST,UPPER WEST,4.868425326477099,1.8392429631444147,High-High,-1.534178072095505,0.014,High-High,-1.4333129176924506,0.017
SUNYANI MUNICIPAL,BONO,-2.11308934485455,-0.983161075052382,Not significant,0.6036942610327871,0.184,Not significant,0.831897894296283,0.067
SAWLA-TUNA-KALBA,SAVANNAH,4.099492740030122,1.6710210020284706,High-High,-1.8405702183845358,0.001,High-High,-1.8213223688973954,0.001
ASANTE AKIM SOUTH,ASHANTI,-0.6027145963001361,-0.2361471186696047,Not significant,0.3394176994463835,0.268,Not significant,0.26426093662326705,0.343
SISSALA EAST,UPPER WEST,0.9940015437924496,0.204137808822723,High-High,-1.2890793171358468,0.003,High-High,-1.1907052260954856,0.004
ADA EAST,GREATER ACCRA,0.3619396230709791,0.2769304859573019,Not significant,-0.5053069364506938,0.162,Not significant,-0.730046400083911,0.08
SHAI OSUDOKU,GREATER ACCRA,-0.4002270446483389,-0.1476100884714834,Not significant,0.0889467618649153,0.47,Not significant,-0.11030122389428207,0.323
KASENA NANKANA EAST,UPPER EAST,1.624869335168024,0.4771417989067191,High-High,-1.3268406884431965,0.004,High-High,-1.108718798351192,0.006
ADA WEST,GREATER ACCRA,1.3700418305936666,0.8107438449188461,Not significant,-0.22200754110924883,0.392,Not significant,-0.40150624739885665,0.255
BUNKPURUGU NAKPANDURI,NORTHERN EAST,2.0942412311044905,0.6021272033551176,High-High,-2.0441558407921816,0.001,High-High,-1.9329899738574068,0.001
GARU,UPPER EAST,3.764835491911277,1.31358571461786,High-High,-1.844336219848296,0.001,High-High,-1.5780550350458287,0.001
NINGO/PRAMPRAM,GREATER ACCRA,-1.0046452807418482,-0.1955203854694534,Not significant,0.2840336802564477,0.401,Not significant,0.07044882459669503,0.459
EAST MAMPRUSI,NORTHERN EAST,4.623235973612845,1.608261937039572,High-High,-2.0211148050512437,0.001,High-High,-1.8818708272766245,0.001
LA DADE-KOTOPON,GREATER ACCRA,-2.716660743266794,-0.9152076532414204,Low-Low,1.2821847550339627,0.001,Low-Low,1.0970664881425152,0.002
BAWKU WEST,UPPER EAST,3.51935453023128,1.135577189570965,High-High,-2.2906465417897075,0.001,High-High,-2.079269000713613,0.001
AOWIN,WESTERN NORTH,-0.2054360120528212,-0.1094692660149154,Not significant,0.1362453880635718,0.394,Not significant,0.11481205807154665,0.467
DORMAA EAST,BONO,-1.0702689733881907,-0.5971641564083362,Low-Low,0.7028776150839118,0.03,Low-Low,0.9341927109871586,0.005
SUAMAN,WESTERN NORTH,0.3019542934641093,0.3730674858482006,Not significant,0.09225011110583019,0.384,Not significant,0.04199838151743176,0.407
BEREKUM EAST MUNICIPAL,BONO,-1.8394409836447525,-0.8791833748321745,Not significant,0.5893094005923345,0.09,Low-Low,0.8491114481725862,0.01
BIA EAST,WESTERN NORTH,-0.2755807395532177,-0.0418646775576998,Not significant,0.45931041724062766,0.14,Not significant,0.6095130817232587,0.051
JAMAN SOUTH MUNICIPAL,BONO,-1.027347222873643,-0.6269884458083593,Not significant,0.6871157508773598,0.085,Low-Low,0.9792972106440834,0.01
BIA WEST,WESTERN NORTH,-1.5255382098256618,-0.8484805978443793,Not significant,0.39014044546801724,0.441,Not significant,0.47254240458655766,0.496
SUNYANI WEST,BONO,-0.9520748128458342,-0.4860832645037529,Low-Low,0.5704168890002053,0.05,Low-Low,0.7834904067473226,0.004
ASUNAFO NORTH MUNICIPAL,AHAFO,-0.8337867606712579,-0.5199856296646683,Not significant,0.32962648632164954,0.232,Not significant,0.40370260610879016,0.187
BODI,WESTERN NORTH,-0.166603098136038,-0.0375901780803974,Not significant,0.11980737728428886,0.408,Not significant,0.08721738167985621,0.482
JUABOSO,WESTERN NORTH,-0.372653330154027,-0.1194803541883354,Not significant,0.2581301842506112,0.239,Not significant,0.262594885898803,0.238
NKORANZA NORTH,BONO EAST,-0.3991888498639965,-0.3357870936662903,Not significant,0.27956735443996933,0.214,Not significant,0.45916845096330094,0.106
KINTAMPO SOUTH,BONO EAST,0.0691556557356978,-0.1497186544026963,Not significant,-0.14681703566956386,0.346,Not significant,0.027053394899229536,0.46
SHAMA,WESTERN,-0.3692981816726385,-0.1226067935247328,Not significant,0.2891334398935882,0.281,Not significant,0.14518655976951575,0.434
TANO NORTH MUNICIPAL,AHAFO,-0.934019662002113,-0.5403312035733248,Not significant,0.4420448688205745,0.124,Low-Low,0.6058631638585031,0.045
WASSA EAST,WESTERN,-0.2053920451832667,0.1022741908294478,Not significant,0.1455337938737077,0.361,Not significant,-0.05700422166007095,0.416
KETU NORTH,VOLTA,0.3452640256605313,0.2104166609376606,Not significant,-0.3232361909036522,0.268,Not significant,-0.4636631844878998,0.148
MPOHOR,WESTERN,-0.1007338708992053,0.1586406675182284,Not significant,0.4843421659784341,0.074,Not significant,0.38106820949322207,0.102
WASSA AMENFI WEST,WESTERN,-1.026485899437942,-0.4531860931633177,Not significant,0.13903562132364888,0.432,Not significant,0.16803766879080248,0.439
KETU SOUTH,VOLTA,0.6850633574580408,0.4753039006005136,Not significant,-0.2387599022677508,0.374,Not significant,-0.3762929244227095,0.311
WASSA AMENFI CENTRAL,WESTERN,0.244647667609137,0.2322429561258515,Not significant,0.13989901771405513,0.324,Not significant,0.09165862431012725,0.381
KETA MUNICIPAL,VOLTA,0.2805011295272629,0.113129232463078,Not significant,-0.34509748691935205,0.229,Not significant,-0.46812966615665247,0.103
KADJEBI,OTI,-0.7499194408473753,-0.3530169933022312,Not significant,0.028179554192427417,0.447,Not significant,-0.030634628337445693,0.335
