year,tb_incidence_per100k,tb_incidence_hiv_pos_per100k,tb_new_relapse_notified,tb_incident_cases_total,tb_incident_cases_children_0_14,tb_incident_cases_hiv_pos,tb_treatment_coverage_pct,mdr_rr_tb_estimated_incident,mdr_rr_tb_confirmed,mdr_tb_started_treatment,new_cases_tested_rr_mdr_pct,prev_treated_tested_rr_mdr_pct,tx_success_new_pct,tx_success_prev_treated_pct,tx_success_mdr_pct,tx_success_xdr_pct,tx_success_hiv_pos_pct,tb_known_hiv_status_pct,tb_tested_hiv_positive_pct,tb_hiv_pos_on_art_pct,hiv_prevalence_adult_15_49_pct,art_coverage_plhiv_pct,gghe_d_pct_gdp,medical_doctors_density,life_expectancy_years,covid_era_flag
1995,,,,,,,,,,,,,54.0,74.0,,,,,,,,,,,,0
1996,,,,,,,,,,,,,51.0,55.0,,,,,,,,,,,,0
1997,,,,,,,,,,,,,48.0,,,,,,,,,,,,,0
1998,,,,,,,,,,,,,54.0,,,,,,,,,,,,,0
1999,,,,,,,,,,,,,51.0,,,,,,,,,,,,,0
2000,216.0,86.0,10933.0,42000.0,,17000.0,26.0,,,,,,50.0,,,,,,,,2.6,0.0,0.78690648,,59.08500401,0
2001,214.0,75.0,11923.0,43000.0,,15000.0,28.0,,,,,,56.0,,,,,,,,2.5,0.0,0.90174776,,59.15248936,0
2002,212.0,66.0,11723.0,44000.0,,14000.0,27.0,,,,,,60.0,,,,,,,,2.4,0.0,0.69714803,,59.31647181,0
2003,209.0,60.0,11891.0,45000.0,,13000.0,27.0,,,,,,66.0,37.0,,,,9.5,32.0,100.0,2.4,0.0,1.01139319,,59.53762932,0
2004,206.0,57.0,11827.0,45000.0,,12000.0,26.0,,,,,,68.0,47.0,,,,2.9,35.0,,2.3,1.0,1.03320158,1.48,59.79633543,0
2005,203.0,56.0,12124.0,46000.0,,13000.0,27.0,,1.0,,0.62,0.38,61.0,48.0,,,,7.0,40.0,37.0,2.2,1.0,1.8994931,,60.06629663,0
2006,199.0,57.0,12471.0,46000.0,,13000.0,27.0,,,,,,66.0,63.0,,,62.0,17.0,33.0,14.0,2.1,2.0,1.78453588,,60.34619824,0
2007,196.0,57.0,12743.0,46000.0,,14000.0,28.0,,7.0,,0.0,,77.0,58.0,,,68.0,44.0,28.0,17.0,2.1,4.0,1.76913011,0.7,60.66755486,0
2008,191.0,55.0,14149.0,46000.0,,13000.0,30.0,,2.0,0.0,0.0,13.0,82.0,67.0,,,72.0,51.0,22.0,24.0,2.0,7.0,1.74936557,0.77,61.08557755,0
