variable,first_year,last_year,n_points,n_gap_years_within_span,gap_years
tx_success_new_pct,1995,2023,29,0,
tx_success_prev_treated_pct,1995,2023,23,6,"1997,1998,1999,2000,2001,2002"
tb_incidence_per100k,2000,2024,25,0,
tb_incidence_hiv_pos_per100k,2000,2023,24,0,
tb_incident_cases_hiv_pos,2000,2024,25,0,
tb_treatment_coverage_pct,2000,2024,25,0,
tb_new_relapse_notified,2000,2024,25,0,
tb_incident_cases_total,2000,2024,25,0,
life_expectancy_years,2000,2021,22,0,
hiv_prevalence_adult_15_49_pct,2000,2024,25,0,
gghe_d_pct_gdp,2000,2022,23,0,
art_coverage_plhiv_pct,2000,2024,25,0,
tb_hiv_pos_on_art_pct,2003,2024,21,1,2004
tb_known_hiv_status_pct,2003,2024,22,0,
tb_tested_hiv_positive_pct,2003,2024,22,0,
medical_doctors_density,2004,2023,18,2,"2005,2006"
new_cases_tested_rr_mdr_pct,2005,2024,17,3,"2006,2009,2010"
mdr_rr_tb_confirmed,2005,2024,18,2,"2006,2009"
prev_treated_tested_rr_mdr_pct,2005,2024,17,3,"2006,2007,2009"
tx_success_hiv_pos_pct,2006,2023,18,0,
mdr_tb_started_treatment,2008,2024,17,0,
tx_success_mdr_pct,2010,2022,13,0,
mdr_rr_tb_estimated_incident,2015,2024,10,0,
tx_success_xdr_pct,2018,2022,5,0,
tb_incident_cases_children_0_14,2024,2024,1,0,
